id,title,category,new_query,user_id,remaining_interaction_string,classification,preferences,target_count,targets,similarity_score,price,ranking,query
B005JXJHGQ,Rhonda Shear Ahh Seamless Leisure Bra (9588),"Women | Intimates | Bras | Clothing | Everyday Bras | Lingerie, Sleep & Lounge",Could you suggest some women's sleepwear that I can wear during cozy evenings? I'm not sure about the specific wearing scene.,A3TSEW1ANGIOZN,B0012FQLBO|B001FWZ06Q|B005F5M2P6,3,"The user has a strong preference for clothing related to skiing and snow sports, indicating an interest in outdoor winter activities.",-1,,-10.194611,,7303,Could you suggest some women's sleepwear that I can wear during cozy evenings after a day of snow sports?
B001U89CDC,"Pour La Victoire Women's Irma Wedge Boot,Brown,5 M US",Women | Shoes | Pour La Victoire | P | Boots,Could you guide me to a set of clothes for women that are suitable for special occasions?,A2DKOEM8RP8CB1,B00188MQ5A|B001N45BT2|B002HIX26W|B001CWV6OE,1,"The user shows a preference for specific brands like Sperry Top-Sider and Skechers, and may favor casual and versatile footwear options for children.",-1,,-10.19637,,412493,Could you guide me to a women's wedge boots that are suitable for both casual outings and special occasions?
B008ET8X44,Pink Camouflage Travel Tote Bag with Coin Purse,Luggage | Travel Totes | Luggage & Travel Gear,I want a women's travel tote bag with a coin purse that can meet my need for casual and comfortable style.,ANRVNQX6094PI,B007UMDERM|B000NNBALC|B007UMD8UU,-1,The user has a preference for subdued colors and camo patterns in their clothing choices.,2,women's travel tote bag|coin purse,-10.194096,,637524,I want a women's travel tote bag with a coin purse that can meet my need for casual and comfortable style.
B00GJC5A44,Haggar Men's Expandable Waist No Iron Dark Denim Pleat Front Pant,Jeans | Clothing | Men,Can you help me choose a men's jeans for casual outings that accommodate a Big & Tall body shape?,A1FW20E4FAQVBN,B000Y89B94|B0009KN2BU|B000MXIMZK,0,"The user has a preference for clothing items that offer comfort and practicality, such as expandable waist pants and no-iron features.",1,men's jeans for casual outings that accommodate a Big & Tall body shape,-7.2302833,34.99,23780,Can you help me choose a men's jeans for casual outings that accommodate a Big & Tall body shape?
B00B5QVEGC,Mud Pie Baby-Girls Infant Chiffon Party Hat Clip,Baby | Accessories | Baby Girls | Hats & Caps,What would you recommend for a hat that is stylish and trendy for baby girls?,A1228MTDSQDQYI,B0049B3NX2|B0012Y4XRY|B000M4XWB8|B000LQN42Y|B000ETMN0M|B000KYZDXA|B000O7DTAW,-1,"The user shows a preference for items with a touch of luxury or boldness, as seen in choices like gold-colored footwear and multi-color or oversized bags.",1,hat that is stylish and trendy for baby girls,-10.193268,2.44,5423,What would you recommend for a hat that is stylish and trendy for baby girls?
B007N1BVKM,Dreamgirl Pretty and Peasant Ruffled Shirt Costume Accessory,"Exotic Apparel | Novelty, Costumes & More | Costumes & Accessories",Could you guide me to a women's costume accessory shirt that is best suited for a themed birthday party?,A3BI6TR0TRGS7,B00422M6EK|B0007SUEVA|B00362L1OI,0,"The user has a strong interest in music-related items, as indicated by the keyword 'Band & Music Fan.'",1,women's costume accessory shirt,-10.192703,,4125,Could you guide me to a women's costume accessory shirt that is best suited for a themed birthday party?
B009S3HEOU,Ever Pretty Ruched Bust Empire Waist Long Chiffon Bridesmaids Dress 09766,Dresses | Women | Clothing | Special Occasion,I’d like a dress that’s specifically designed for a milestone celebration.,A3GI49VPO87K26,B007PSHN7I|B00EK94MS8|B00EDK7BEQ|B00E1QMF66|B00178VOCW|B008JSZ9PQ|B000Y032V0|B005345D5K|B003JUGM4G|B0076FEM8S|B006ZU1K1M|B006NU5T3O|B00876FOKU|B003XCGZVU|B006NU73RO|B000YM6FL2|B006NU73TW,0,"The user shows a unique preference for items with decorative details such as crochet, macrame, and lace. There is also an interest in versatile clothing pieces like maxi dresses and functional yet stylish footwear.",1,dress specifically designed for a milestone celebration,-10.196539,,120269,I’d like a dress that’s specifically designed for a milestone celebration.
B008HHLUAM,Hanes Women's Bikini with ComfortSoft&reg; Waistband and No Panty Lines 3-Pack # EV42AS,"Women | Intimates | Clothing | Lingerie, Sleep & Lounge | Bikinis | Panties",Can you recommend a women's bikini panty that will work?,A2VRL7YXVBA5Q6,B00BPBMD8A|B009F6HNF0|B00BLPUDWS|B00BHSV8Z0|B00BLPUFJE,-1,"The user shows a preference for slip-on shoes and athletic socks, suggesting a lifestyle that values convenience and possibly an active routine.",1,women's bikini panty,-10.193167,,4952,Can you recommend a women's bikini panty that will work for sleep and lounge?
B00KM9NV0U,Flats with Rhinestone Heart,Shoes | Girls,Could you recommend some girls' flats that are suitable for a family gathering at the park?,AYHFE4IKP03LS,B002JIO8V8|B006UMTOF4|B002NU6F7M,0,"The user has a preference for durable and versatile products that can be used in various weather conditions, as indicated by the purchase of a wetsuit and an umbrella.",1,girls' flats suitable for a family gathering at the park,-10.193367,22.99,3713,Could you recommend some girls' flats that are suitable for a family gathering at the park?
B00KSFT61G,FUSAI Men's Stone Wash Cargo Shorts Military,Cargo | Shorts | Clothing | Men,Please suggest a men's cargo shorts for outdoor adventures.,A1B85C05IX13A6,B00DP368HI|B00JVBWDI6|B00K1J57O4|B00CX9EEUI|B00HJBUFMQ|B007N3GQIM|B00FH200BU|B00G3NICFS|B00GS9PNWM|B00DQA3UTY|B00F2OSJIO|B00CTWBJOS|B00ASUZ5GQ|B003TLO300|B00DD0Q8B4|B00AUW5CEC|B00CQB09ZC|B00BFETJ70|B007YYYSBC|B009KR5ZL8|B00CMCBIP0|B00COTYPBU|B00AM392S6|B007P62EYM|B007B8CY8K|B00BFX7O4G|B008JGM4X8|B004IJXYRU|B008E5LV10|B006QGG2TU|B00AAZNW6O|B005TGKBTA|B004K6UM76|B004K061CC|B003C1QBOI|B003TLO34Q|B005407SEW|B004Y4C3N0|B0091KZVI6|B0036TGAR4|B005KQUMZW|B002CN7YKW|B007F2PWJ0|B002FRNAXU|B006MXNOMK,0,"The user shows a strong interest in brands like Lacoste, True Religion, and Ed Hardy, indicating a preference for designer and branded apparel. They also seem to favor unique and bold fashion statements, such as graphic tees with humor or political messages.",1,men's cargo shorts for outdoor adventures,1.3868121,24.99,57818,Please suggest a men's cargo shorts for outdoor adventures and casual summer gatherings.
B006H1T3SQ,Bates Men's Escalante Waterproof Motorcycle Boot,"Bates | Shoes | Work Wear & Uniforms | Outdoor & Work | Industrial & Construction | B | Men | Novelty, Costumes & More | Boot Shop | Work & Safety",Can you show me a men's boot that works for outdoor activities and rugged environments while also being suitable for semi-formal gatherings?,A3R1MHOSYWSQAD,B004X6ST46|B002NGKZ5E|B000977V4W,4,The user shows a strong preference for the brand Kenneth Cole New York and materials like wool blends.,1,men's boot that works for outdoor activities and rugged environments while also being suitable for semi-formal gatherings,2.8663895,,13863,Can you show me a men's boot that works for outdoor activities and rugged environments while also being suitable for semi-formal gatherings?
B00GTMGLF6,Sbicca Women's Delaluna Wedge Sandal,Sbicca | Women | Shoes | S | Sandals | Made in USA,Help me find women's sandals that are comfortable and supportive.,A2BPVPHCDERJP1,B00F31V33E|B0077I2OBQ|B003YJBYIQ|B008H2ET0U|B003V5Y1CY|B00827ROPW|B000CO86KK,-1,"The user shows a strong interest in hosiery and shaping garments, suggesting a preference for products that offer both style and support.",1,women's sandals that are comfortable and supportive,-10.157621,,27338,Help me find women's sandals that are comfortable and supportive.
B00J4WT2EA,Wet Seal Women's Embroidered Tiered Tank L Natural,Women | Clothing | Tops & Tees | Juniors | Tanks & Camis,Can you suggest a women's tank top that is casual and stylish?,A347TRZM5ZQQBW,B00I2U1RJS|B00G54JCQI|B00J4W0QM2|B00I0NTH9E,-1,The user shows a strong preference for floral patterns and lace details in their clothing choices.,1,women's tank top that is casual and stylish,-10.192757,,777038,Can you suggest a women's tank top that is casual and stylish?
B008KK0ZJ8,Clarks Women's Breeze Sea Flip Flop,Clarks | Women | Shoes | C | Sandals,I need women's sandals that are comfortable and stylish.,A1Z3QRLG18NEST,B0000A504H|B0072UQCCG|B004H76U6U,-1,"The user shows a preference for athletic shoes with a focus on specific brands like K-Swiss and Pelé Sports, and is interested in vibrant color combinations such as black and neon yellow.",1,women's sandals that are comfortable and stylish,-10.194641,,18,I need women's sandals that are comfortable and stylish for summer outings with my kids.
B003UAS4D2,Trotters Women's Jeri Slip-On,Women | Shoes | Pumps | Trotters | T,"I'm looking for women's pumps that are suitable for formal gatherings. Additionally, could you recommend an additional pair of pants and socks to go with these shoes?",AQLL2R1PPR46X,B007JTV5GI|B005D6B5K0|B002JCSXZQ|B000DZUGOM|B000C2RXTM,2,"The user shows a strong preference for comfortable and casual footwear, particularly sandals and cross-training shoes.",3,women's pumps suitable for formal gatherings|pair of pants|socks,-9.111235,,45549,I want to find a women's pumps that are suitable for both formal gatherings and casual family outings.
B000AQ9L4A,Sebago Men's Spinnaker Boat Shoe,Shoes | S | Loafers & Slip-Ons | Spring Promo | Men | Sebago,"I’d like a loafer that’s specifically designed for casual outings. Additionally, recommend an additional pair of pants and socks to go with these shoes.",A3N3N7O784S2AD,B001872VZG|B00EYH7VKW|B004SIKTXI|B000A6LWC4|B004OK86UI|B000VGSZ82,2,"The user shows a preference for outdoor or rugged style accessories and footwear, as suggested by the purchase of a logo cap and hiking boots.",3,loafer that’s specifically designed for casual outings|pair of pants|socks,-5.9116015,,474,I’d like a loafer that’s specifically designed for casual outings and versatile styling.
B00GCZN5P4,Bcpolo Turtleneck Cotton Solid Cotton Mock Neck Turtleneck Pullover,Sweaters | Pullovers | Clothing | Men,What would you recommend for a men's pullover that is suitable for casual outings during transitional weather?,A1QFSN8PZMB40Y,B00I51QZ5U|B0051VC3M6|B0000C321X|B009RUSGOG,0,"The user shows a preference for branded clothing, particularly items from Ralph Lauren.",1,men's pullover suitable for casual outings during transitional weather,-2.4094024,19.99,30034,What would you recommend for a men's pullover that is suitable for casual outings and layering during transitional weather?
B005LVDROE,Hunter Original Green Womens Boots,Women | Hunter | Shoes | H | Boots,I need women's boots that are practical and comfortable.,AFXP7Y8YHHTLQ,B000G1JM02|B008KFCUFA|B000J498PA,-1,"The user has a strong preference for brands like Crocs and Stride Rite, indicating a focus on quality and comfort for children's shoes.",1,women's boots that are practical and comfortable,-10.195211,118.98,43010,I need women's boots that are practical and comfortable for toddlers.
B00DV7I7P4,CordiU Bamboo Dye Rayon Jersey A-Line Maxi Skirt,Women | Casual | Skirts | Clothing,Could you guide me to a skirt that is best suited for casual outings while also being versatile enough for cultural events?,A27E8XNZ7Z00AN,B00D2KY8BC|B000XDDERK|B001J6NWW2,0,"The user has a preference for ombre dye patterns and A-line maxi skirts, suggesting a liking for stylish yet comfortable clothing options.",1,skirt,-10.174594,28.99,79135,Could you guide me to a skirt that is best suited for casual outings while also being versatile enough for cultural events?
B000M23Q2U,"adidas Men's Crew Athletic Socks, 6-Pack",Athletic Socks | Active | Clothing | Men,Can you recommend me a men's athletic socks for outdoor events?,A3R1L26DD97QB2,B004ESUR7A|B000F1RGBU|B00386B610|B0027X168S,0,"The user has a preference for durable and functional clothing and accessories, such as thermal socks and an automatic travel umbrella, indicating a lifestyle that may involve outdoor activities or travel.",1,men's athletic socks for outdoor events,-0.42179358,18,4238,Can you recommend me a men's athletic socks for outdoor events and layering with boots?
B00I3D3JGI,"Hello Kitty Baby-Girls Infant Mini Sequin Top with Shorts, Carmine, 12 Months",Baby | Clothing | Clothing Sets | Baby Girls | Short Sets,Can you show me a set of clothes that works for family gatherings?,A8VCT4BMM9HAA,B00GGN788M|B00EP9C2GC|B00CM2LVPM,1,"The user shows a preference for clothing sets, particularly those that include shorts.",-1,,-1.7493128,,333859,Can you show me a shorts set that works for family gatherings and casual outings?
B00HPYGN9Q,Style J Flowing Love Long Jean Skirt-Blue-42(22),Women | Casual | Skirts | Clothing,I'm after a skirt that works best for casual outings with friends during the summer.,A3HAYQROXJ6IL8,B00CXWESNS|B008B104KQ|B007HZOK5W|B0012F5U3E|B00F8W5AC8|B000UYIWKG,0,"The user shows a preference for the New Balance brand, indicating a possible loyalty or satisfaction with this brand's products.",1,skirt for casual outings with friends during the summer,-5.458072,,358935,I'm after a skirt that works best for casual outings with friends during the summer.
B001RFG5U6,Black Belts for Buckle,Accessories | Belts | Men,Can you recommend me a men's belt for enhancing my look during casual outings?,A1IS83JZRDC02N,B00C7CVCUQ|B0002TVB70|B000MN87D2|B008HSIJKK|B00B2I15ZS|B00552HGBO|B00075ZWR4|B008027I0U|B005I6ZF24|B004VR9LQC|B005I6O8VS|B006R7J01K|B00C7DI3ZW|B002A4Z7LG|B008027IY6,0,"The user shows a strong preference for products related to sports and outdoor activities, particularly those that enhance performance and comfort, such as moisture-wicking and UV-protective gear.",1,men's belt for enhancing my look during casual outings,5.142039,5.99,16496,Can you recommend me a men's belt for enhancing my look during casual outings and while participating in athletic events?
B00DG7B1DO,Champion Women's Absolute Workout Knee Tight,Women | Clothing | Tights & Leggings | Active | Petite | Active Leggings | Sports & Outdoors,What would be the best activewear set of clothes for layering during travel with an infant?,A1Y646BDXHBEEF,B008MA0NH0|B005CSNWAK|B00ESZJN10|B008809NB6|B005GYGD7O|B0016O9RMG|B0042NPZVK|B00AYX8N5C|B008F17R2K,1,"The user shows a strong preference for active and sports-related clothing, particularly leggings and tights. They also have an interest in casual footwear and infant clothing.",-1,,-10.196758,28.97,210546,What would be the best activewear for layering during travel while managing a busy schedule with an infant?
B003JH8T9A,California Costumes Men's Demon Horns W/Teeth Costume Accessory,"Novelty, Costumes & More | Costumes & Accessories | Costumes | Men",Do you know any men's novelty costume accessory that would work well for themed parties during the winter?,A1IS7C69CSVEIY,B00FJICXIK|B00ARB28AC|B003INE1S8|B004NNK4B0,0,The user shows a unique interest in items with distinctive features such as thumbhole designs and themed accessories like the Mad Hatter hat pin set.,1,men's novelty costume accessory,-8.173407,9.99,32765,Do you know any men's novelty costume accessory that would work well for themed parties and cosplay events during the winter?
B007XSZZEI,Yellow Box Women's Carmita Boot,Women | Shoes | Y | Fashion | Yellow Box | Boot Shop | Boots,Show me a set of clothes that works well for outdoor activities.,A33IY9TY2HDBHS,B0043ZVELM|B007RLRDJG|B008KRWD6Y,1,"The user shows a preference for specific styles such as slingback sandals and booties, indicating an interest in trendy and possibly versatile footwear.",-1,,-1.1133603,69.95,176457,Show me a pair of boots that works well for outdoor activities and seasonal transitions.
B0085ZEKTY,Revant Replacement Lenses for Oakley Jawbone Vented Sunglasses - 18 Options Available,Women | Shoes | Athletic | Golf | Men,Can you recommend me a set of clothes for outdoor adventures?,ANRS196NKFVUU,B003DQPBCK|B004VWK7N8|B00A39825S|B001RV1PEQ|B002D3YHGU|B002KV3DRO|B003RZZ7HG|B004KX0XV4|B002R2BR56|B0046BPH2K|B002NQRS2W|B005GRQ9AC|B005BKOE4M|B002D3YHGA|B0012KG15A|B00247XQS0|B000W5MWR2|B0076S9MY4|B002KV7JBA|B00023S8IQ|B0029SZNOO,1,"The user shows a strong preference for novelty and costume-related items, as well as specialized makeup products.",-1,,-8.367856,35.99,1798,Can you recommend me a unisex sunglasses replacement lenses for outdoor adventures?
B000ARB1SS,Wigwam Men's 625 Sock,Clothing | Athletic Socks | Active | Socks | Men | Sports & Outdoors,I am looking for men's athletic socks that are comfortable.,A13M2TSVMDTBC8,B001FCV6Z0|B008AHITGM|B0094RJ6QO,-1,The user shows a preference for flat front styles in their clothing choices.,1,men's athletic socks that are comfortable,-0.45785245,,15172,I am looking for men's athletic socks that are comfortable and suitable for active sports and outdoor activities.
B00FZDYLWU,Bobs from Skechers Kustom Evlv Fashion Sneaker,Comfort Shoes | Shoes | S | Skechers | Men | Fashion Sneakers,"Could you recommend some men's sneakers that would be suitable for casual outings and work well for travel comfort? Additionally, recommend an additional pair of pants and socks to go with these shoes.",A30AKFPDU5DRR2,B008S6XL18|B0077CRVA6|B007W58N96|B0059SGWI2|B005LPRK5M|B0089MVFGY,2,"The user has a strong preference for novelty and costume-themed clothing, as indicated by their interest in items like the 'Arrested Development' T-shirt.",3,men's sneakers|pants|socks,-4.3257537,,53283,Could you recommend some men's sneakers that would be suitable for casual outings and also work well for travel comfort?
B009AMOL7W,Naturalizer Women's Ringo Sandal,Naturalizer | N | Women | Shoes | Sandals,Can you suggest a women's sandals that are comfortable and suitable for plus-size feet?,A11ATGW4VYDY39,B0068CL0QW|B000BTBPWW|B00596S4VM|B0051EF4RY,-1,The user shows a preference for brands like Naturalizer and styles that incorporate rhinestones or unique textures.,1,women's sandals that are comfortable and suitable for plus-size feet,-10.192776,,6051,Can you suggest a women's sandals that are comfortable and suitable for plus-size feet?
B001FAX68W,Low Profile Dyed Cotton Twill Cap - Olive W36S53F,Accessories | Hats & Caps | Baseball Caps | Men,Show me a men's baseball cap that will help me manage my hair during outdoor activities and provide sun protection.,A16L6C2WJ0VAZZ,B0009MZWDY|B0037TKMYU|B002VWK6BI,0,"The user has a specific interest in outdoor or work-related gear, as suggested by the purchase of utility gloves and combat boot socks.",1,men's baseball cap,-1.9623016,10.15,10776,Show me a men's baseball cap that will help me manage my hair during outdoor activities and provide sun protection while traveling.
B00BPCY8GO,Romwe Women's Trendy Symmetrically Gradient Universe Starry Skinny Leggings-Colorful-M,Women | Leggings | Clothing,I want leggings that are suitable for yoga classes and layering under dresses for themed gatherings.,A3BI4A1YB4V7W0,B00H8VKM6G|B00BTOC3P6|B009P4HY10,0,"The user has a strong interest in movie and TV fan merchandise, particularly related to Star Wars. They also show a preference for novelty and costume-related items.",1,leggings suitable for yoga classes and layering under dresses for themed gatherings,-10.196533,,1333426,I want a leggings that are suitable for yoga classes and layering under dresses for a themed event.
B0087QYI02,ASICS Women's Gel-Cirrus33 2 Running Shoe,Women | Shoes | Athletic | ASICS | Running,"Can you point me to a women's athletic running shoe that is suitable for outdoor adventures while keeping my feet warm during cooler weather? Additionally, recommend an additional pair of pants and socks to go with these shoes.",A1B85QVOOMBNRY,B00AX8FU1I|B00FX6LWPS|B007OT1QN0|B0066SJOPM,2,"The user shows a preference for vintage and stylish winter accessories, as well as a liking for unique and artistic designs, such as those found in The Mountain Men's Border Collie shirt.",3,women's athletic running shoe suitable for outdoor adventures while keeping feet warm during cooler weather|pants|socks,-8.334497,,22796,Can you point me to a women's athletic running shoes that are suitable for outdoor adventures and casual outings while keeping my feet warm during cooler weather?
B00CXMZQIE,Bronx Women's Turn Out Ankle Boot,Bronx | Shoes | Women | B | Boots,I’m looking for women's ankle boots that would be great for casual outings during transitional weather. I'm not sure about the specific wearing scene.,AQ16SUP10VRH5,B00FN7W5T4|B00EHA6L5W|B0083CII6K|B007TI2QTE|B00BGC5AII|B004IOVHEM|B009T660M8|B005C9FNJC,3,"The user shows a unique preference for clothing items that are tailored and have a modern, trendy appeal, such as cropped cardigans and floral print blazers.",-1,,-8.8126135,56.7,52688,I’m searching for a women's ankle boots that would work well for casual outings and versatile layering during transitional weather.
B003TWGTO2,Arcteryx Atom SV Hoody - Men's,Track Jackets | Sports & Outdoors | Clothing | Men,Can you recommend a men's track jacket that will work for outdoor activities during transitional weather?,A1LBWD92FTR2JA,B008GU982W|B00740RQO2|B001EHDT6K|B000W8WUNA,0,"The user shows a strong preference for the Rockport brand, indicating a possible loyalty or satisfaction with their products.",1,men's track jacket for outdoor activities during transitional weather,0.29685682,,27092,Can you recommend a men's track jacket that will work for outdoor activities and layering during transitional weather?
B004SP1386,Peace Frogs Backpack Super Cool Travel School Bags,Luggage & Travel Gear,I’d like to buy a unisex travel backpack with lightweight packing for weekend getaways and easy identification.,A8VED70C45I8Q,B004GHJS42|B006H1CJUA|B00FJ1I9LW|B001RNOBAY|B000I7GAH2,0,"The user shows a preference for running and workout gear, as well as unique graphic tees.",1,unisex travel backpack with lightweight packing for weekend getaways and easy identification,-10.039501,27.99,1802733,I’d like to buy a unisex travel backpack with lightweight packing for weekend getaways and easy identification in mind.
B007MSKTK4,"Pel&eacute; Sports Men's 50/50 Soccer Shoe,Wind Chime/Charcoal Gray/White,9 M US",Soccer | Shoes | Athletic | Men,I'm after men's athletic soccer shoes that are slip-on for convenience and comfort.,A3E2IIAG63QZ8V,B002XG0VTO|B001D1NHU0|B000YKNHFG,-1,"The user shows a unique interest in exotic apparel and novelty items, suggesting a taste for distinctive or unconventional fashion choices.",1,men's athletic soccer shoes that are slip-on for convenience and comfort,-5.9195895,,116670,I'm after men's athletic soccer shoes that are slip-on for convenience and comfort.
B00EFV1GPI,Royal Bones Black &amp; White Stripe Skinny Pants Size : 1,Women | Clothing | Juniors,I want a pair of skinny pants that are suitable for casual outings and cultural events.,A1PDK4QGT30851,B00BIRQNQ4|B005OD0DCI|B005AFD9GM|B007FNFF82|B00AZS103S|B004PJMBHW|B005N4XWQ2|B008CAETZ2|B005LEUOEM|B009L34J5E|B007ZZNRPS|B00874VDMA,0,"The user has a strong preference for unique and bold fashion items, such as steampunk glasses, vampire-themed pajamas, and studded belts.",1,skinny pants suitable for casual outings and cultural events,-10.093641,,1404813,I want a pair of skinny pants that are suitable for casual outings and can also be worn to cultural events.
B0089552A6,"Lego Star Wars Backpack Lenticular 3-D Boba Fett, Chewbacca &amp; More",Backpacks | LEGO | Luggage & Travel Gear | L,I want a unisex backpack for travel that features LEGO Star Wars characters like Boba Fett and Chewbacca and is suitable for a young boy aged 2 to 7 years old.,AEW5Y4Y4X5HH0,B00DG0TUW0|B00EQ2EQI0|B00DY3W92C|B007PESQKK|B008FV5E4I|B007IUU0NW|B008EKZGZ2,-1,"The user shows a preference for themed clothing, such as Spiderman, and has an interest in stylish, branded items like Ferrari and military-style accessories.",1,unisex backpack for travel featuring LEGO Star Wars characters like Boba Fett and Chewbacca suitable for a young boy aged 2 to 7 years old,-10.196014,35,4340,I want a unisex backpack for travel that features LEGO Star Wars characters like Boba Fett and Chewbacca and is suitable for a young boy aged 2 to 7 years old.
B004YJCOV6,"Carter's Girls 2-6x Rainbow 2 Pair Pack Training Pant, Multi, 18 Months",Panties | Underwear | Girls | Clothing,I'm after some socks that would be good for women and children.,A17EK8M0UC5ODK,B007PJ8146|B007WU44HG|B007Y2S720|B0078XPZ5M|B000O5YRHI|B007KF1LKQ|B0074DIL2K|B004M17C9U|B003UP366M|B003IBECJ8|B006WHD4DK,-1,"The user shows a preference for colorful and patterned clothing items, as indicated by the purchase of items like geo butterfly socks and dotty spotty capris.",1,socks for women and children,-10.195536,,100558,I'm after some socks that would be good for women and children.
