id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,hit_rate,mrr,ndcgs,fail,pattern_used
3617,Ray LaMontagne,awesome mellow mmmm acoustic folk singer-songwriter soul calm berep shows the lo,0.0,4.0,1015,5972|366|1725|602|1383,Can you recommend music similar to Ray LaMontagne? I enjoy awesome mellow mmmm acoustic folk singer-songwriter style music.,1,"The user likes: Something Corporate, The Fray, Nat King Cole, Nelly Furtado, Shakira",Can you recommend music similar to Ray LaMontagne? I enjoy awesome mellow mmmm acoustic folk singer-songwriter style music.,1,3617,0.6,1.0,0.9188490368414884,0,template_11
227,The Beatles,pop rock classic rock british dance 60's legends 60s the beatles <3 love at firs,0.0,4.0,1016,621|426|220|2628|425,Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,"The user likes: Modest Mouse, blink-182, The White Stripes, Dinosaur Jr., Sebadoh",Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,227,0.4,1.0,0.6325004241086445,0,template_11
294,Leona Lewis,talent rnb soul pop female vocalists chill zone fav female singers fav tracks ba,0.0,4.0,1017,328|644|191|1459|161,Can you recommend music similar to Leona Lewis? I enjoy talent rnb soul pop female vocalists style music.,1,"The user likes: Colbie Caillat, CÃÂ©line Dion, Nelly Furtado, Cascada, Jordin Sparks",Can you recommend music similar to Leona Lewis? I enjoy talent rnb soul pop female vocalists style music.,1,294,0.45,1.0,0.9791840321602852,0,template_11
370,Katatonia,hard rock - metal metal rock progressive metal dark-doom doom metal depressive r,0.0,4.0,1018,769|2379|163|3722|811,Can you recommend music similar to Katatonia? I enjoy hard rock - metal metal rock style music.,1,"The user likes: Shadows Fall, Necrophagist, Nile, Unearth, Chimaira",Can you recommend music similar to Katatonia? I enjoy hard rock - metal metal rock style music.,1,370,1.05,1.0,0.9225852653268005,0,template_11
3341,Motion City Soundtrack,i saw them live nostalgia pop punk rock indie rock alternative indie,0.0,4.0,1019,424|190|229|1246|2523,Can you recommend music similar to Motion City Soundtrack? I enjoy i saw them live nostalgia pop style music.,1,"The user likes: Pedro the Lion, Shakira, The Format, From First to Last, The Dresden Dolls",Can you recommend music similar to Motion City Soundtrack? I enjoy i saw them live nostalgia pop style music.,1,3341,0,0,0,1,error
197,Tom Waits,autumn 80s rock singer-songwriter 00s american ballad folk 90s live 2008 70s blu,0.0,4.0,102,2640|2639|2637|190|198,Can you recommend music similar to Tom Waits? I enjoy autumn 80s rock singer-songwriter 00s american style music.,1,"The user likes: Eric Clapton, Thursday, Simon & Garfunkel, U2, John Lennon",Can you recommend music similar to Tom Waits? I enjoy autumn 80s rock singer-songwriter 00s american style music.,1,197,0.0,0.0,0.0,1,template_11
227,The Beatles,pop rock classic rock british dance 60's legends 60s the beatles <3 love at firs,0.0,4.0,1020,1043|291|300|378|680,Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,"The user likes: blessthefall, Ashley Tisdale, Panic! At the Disco, Gorillaz, Good Charlotte",Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,227,0.5125,1.0,0.7026099747257982,0,template_11
163,Pink Floyd,psychedelic rock classic rock rock legends psychedelic progressive rock british ,0.0,4.0,1021,366|1242|159|1372|2136,Can you recommend music similar to Pink Floyd? I enjoy psychedelic rock classic rock rock legends style music.,1,"The user likes: Bob Dylan, Supertramp, Janis Joplin, Ã¤Â¹ÂÃ§ÂÂ³Ã¨Â­Â², The Rakes",Can you recommend music similar to Pink Floyd? I enjoy psychedelic rock classic rock rock legends style music.,1,163,0.5,1.0,0.8782999005209218,0,template_11
227,The Beatles,pop rock classic rock british dance 60's legends 60s the beatles <3 love at firs,0.0,4.0,1022,333|599|4165|1042|470,Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,"The user likes: Coldplay, Scissor Sisters, Backstreet Boys, A Rocket to the Moon, Katy Perry",Can you recommend music similar to The Beatles? I enjoy pop rock classic rock british dance style music.,1,227,0.5,1.0,0.6324197078952322,0,template_11
466,Ke$ha,electronic pop dance kesha electro pop idol party amazing love at first listen u,0.0,4.0,1023,525|970|906|295|701,Can you recommend music similar to Ke$ha? I enjoy electronic pop dance kesha electro pop style music.,1,"The user likes: Pixie Lott, Vanessa Hudgens, Black Eyed Peas, Far East Movement, Zeca Baleiro",Can you recommend music similar to Ke$ha? I enjoy electronic pop dance kesha electro pop style music.,1,466,0.6,1.0,0.7629144949609777,0,template_11
1104,Rammstein,metal industrial metal rock electronic industrial thrash metal beautiful fucking,0.0,4.0,1024,1154|7639|540|4980|519,Can you recommend music similar to Rammstein? I enjoy metal industrial metal rock electronic industrial style music.,1,"The user likes: Nicole Scherzinger, 30 Seconds to Mars, Metallica, Apocalyptica, Gym Class Heroes",Can you recommend music similar to Rammstein? I enjoy metal industrial metal rock electronic industrial style music.,1,1104,0.8,1.0,0.7450268110370075,0,template_11
