id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,primary_target_id,hit_rate,mrr,ndcgs,fail,pattern_used,direct_hr10,direct_mrr,direct_ndcg
5841,Winger,"hard rock,hair metal,glam metal,80s,glam rock",0.0,4.0,1010,1889|1892|1895|2526|2562,"I enjoy listening to artists like New Order, Enigma, Icehouse, Camouflage, George Michael, Spandau Ballet. I generally like new wave 80s electronic ambient age music. Can you recommend similar music artists I might enjoy?",1,"The user likes: New Order, Enigma, Icehouse, Camouflage, George Michael","I enjoy listening to artists like New Order, Enigma, Icehouse, Camouflage, George Michael, Spandau Ballet. I generally like new wave 80s electronic ambient age music. Can you recommend similar music artists I might enjoy?",1,5841|877|2027|2787|5254|7927|189,5841,0.95,1.0,0.9888852713809857,0,template_11,0,0.0,0.0
5308,Dot Dot Curve :),,0.0,4.0,1011,704|779|816|1034|1035,"I enjoy listening to artists like Marilyn Manson, Green Day, Lily Allen, Cobra Starship, A Fine Frenzy, Linkin Park. I generally like metal industrial rock punk pop female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Marilyn Manson, Green Day, Lily Allen, Cobra Starship, A Fine Frenzy","I enjoy listening to artists like Marilyn Manson, Green Day, Lily Allen, Cobra Starship, A Fine Frenzy, Linkin Park. I generally like metal industrial rock punk pop female music. Can you recommend similar music artists I might enjoy?",1,5308|5437|6448|11796|45|209|378,5308,0.9,1.0,0.9937947856332161,0,template_11,0,0.0,0.0
3058,The Puppini Sisters,"jazz,swing,retro swing,swing revival,christmas blend",0.0,4.0,1012,709|907|913|969|975,"I enjoy listening to artists like Marilyn Manson, Mindless Self Indulgence, Daft Punk, Placebo, Muse, Beck. I generally like metal industrial rock punk electronic dance music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Marilyn Manson, Mindless Self Indulgence, Daft Punk, Placebo, Muse","I enjoy listening to artists like Marilyn Manson, Mindless Self Indulgence, Daft Punk, Placebo, Muse, Beck. I generally like metal industrial rock punk electronic dance music. Can you recommend similar music artists I might enjoy?",1,3058|5439|6453|11754|230|233,3058,0.65,1.0,0.9668105358387512,0,template_11,0,0.0,0.0
5480,Frou Frou,"electronic,indie,ambient,alternative,female vocalists",0.0,4.0,1015,1383|1725|1772|2277|2440,"I enjoy listening to artists like Coldplay, Beirut, Death Cab for Cutie, Nelly Furtado, Jack Johnson, Iron & Wine. I generally like alternative rock folk indie singer songwriter music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Coldplay, Beirut, Death Cab for Cutie, Nelly Furtado, Jack Johnson","I enjoy listening to artists like Coldplay, Beirut, Death Cab for Cutie, Nelly Furtado, Jack Johnson, Iron & Wine. I generally like alternative rock folk indie singer songwriter music. Can you recommend similar music artists I might enjoy?",1,5480|5972|6298|6602|2425,5480,0,0,0,1,error,0,0.0,0.0
6836,Ted Leo and The Pharmacists,"indie,yay,groove,rock,seen live",0.0,4.0,1016,709|1159|1231|1375|1944,"I enjoy listening to artists like The Cure, Bright Eyes, Bloc Party, The Decemberists, Death Cab for Cutie, Red Hot Chili Peppers. I generally like new wave 80s post indie folk music. Can you recommend similar music artists I might enjoy?",1,"The user likes: The Cure, Bright Eyes, Bloc Party, The Decemberists, Death Cab for Cutie","I enjoy listening to artists like The Cure, Bright Eyes, Bloc Party, The Decemberists, Death Cab for Cutie, Red Hot Chili Peppers. I generally like new wave 80s post indie folk music. Can you recommend similar music artists I might enjoy?",1,6836|9485|622|1424|2281|2616|1632,6836,0.85,1.0,0.9953258514469147,0,template_11,0,0.0,0.0
3397,Heidi Montag,"pop,dance,female vocalists,love,rnb",0.0,4.0,1017,310|311|325|328|333,"I enjoy listening to artists like Kylie Minogue, Madonna, Lady Gaga, Enrique Iglesias, OneRepublic, Mariah Carey. I generally like pop dance electronic female vocalists latin music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Kylie Minogue, Madonna, Lady Gaga, Enrique Iglesias, OneRepublic","I enjoy listening to artists like Kylie Minogue, Madonna, Lady Gaga, Enrique Iglesias, OneRepublic, Mariah Carey. I generally like pop dance electronic female vocalists latin music. Can you recommend similar music artists I might enjoy?",1,3397|3491|6308|289|318|465|349,3397,0.95,1.0,0.9986400209011808,0,template_11,0,0.0,0.0
3717,Chimaira,"metalcore,thrash metal,metal,hardcore,groove metal",0.0,4.0,1018,834|841|846|943|953,"I enjoy listening to artists like Behemoth, Dimmu Borgir, Radiohead, Pink Floyd, Blackfield, Opeth. I generally like death metal black symphonic alternative rock music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Behemoth, Dimmu Borgir, Radiohead, Pink Floyd, Blackfield","I enjoy listening to artists like Behemoth, Dimmu Borgir, Radiohead, Pink Floyd, Blackfield, Opeth. I generally like death metal black symphonic alternative rock music. Can you recommend similar music artists I might enjoy?",1,3717|3722|4669|5100|5667,3717,0.6,1.0,1.0,0,template_11,0,0.0,0.0
5027,Le Tigre,"indie,female vocalists,electronic,alternative,punk",0.0,4.0,1019,989|1048|1093|1181|1231,"I enjoy listening to artists like Coldplay, Radiohead, The Cranberries, Muse, System of a Down, CAKE. I generally like alternative rock female vocalists 90s metal music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Coldplay, Radiohead, The Cranberries, Muse, System of a Down","I enjoy listening to artists like Coldplay, Radiohead, The Cranberries, Muse, System of a Down, CAKE. I generally like alternative rock female vocalists 90s metal music. Can you recommend similar music artists I might enjoy?",1,5027|6602|8467|8710|11550|217|227,5027,0.375,1.0,0.724035136461182,0,template_11,0,0.0,0.0
2641,Calexico,"alt-country,indie rock,folk,alternative,indie",0.0,4.0,102,197|198|199|202|205,"I enjoy listening to artists like The Beatles, U2, Muddy Waters, Eric Clapton, John Lennon, Frank Sinatra. I generally like classic rock british alternative blues guitar music. Can you recommend similar music artists I might enjoy?",1,"The user likes: The Beatles, U2, Muddy Waters, Eric Clapton, John Lennon","I enjoy listening to artists like The Beatles, U2, Muddy Waters, Eric Clapton, John Lennon, Frank Sinatra. I generally like classic rock british alternative blues guitar music. Can you recommend similar music artists I might enjoy?",1,2641|192|271|617|1858|2626|2630,2641,0.8,1.0,0.8631997506525685,0,template_11,0,0.0,0.0
707,Metallica,"metal,thrash metal,heavy metal,hard rock,rock",0.0,4.0,1020,704|1043|1047|1182|1246,"I enjoy listening to artists like Mindless Self Indulgence, Gorillaz, My Chemical Romance, Green Day, Nirvana, Kelly Clarkson. I generally like punk industrial electronic alternative rock indie music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Mindless Self Indulgence, Gorillaz, My Chemical Romance, Green Day, Nirvana","I enjoy listening to artists like Mindless Self Indulgence, Gorillaz, My Chemical Romance, Green Day, Nirvana, Kelly Clarkson. I generally like punk industrial electronic alternative rock indie music. Can you recommend similar music artists I might enjoy?",1,707|1672|475|1044|1249|466,707,1.0,1.0,1.0,0,template_11,0,0.0,0.0
1372,Deep Purple,"hard rock,classic rock,rock,progressive rock,heavy metal",0.0,4.0,1021,4922|72|154|159|163,"I enjoy listening to artists like Fleetwood Mac, CAKE, Bob Dylan, Queens of the Stone Age, Jack Johnson, The Rakes. I generally like classic rock 70s alternative indie folk music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Fleetwood Mac, CAKE, Bob Dylan, Queens of the Stone Age, Jack Johnson","I enjoy listening to artists like Fleetwood Mac, CAKE, Bob Dylan, Queens of the Stone Age, Jack Johnson, The Rakes. I generally like classic rock 70s alternative indie folk music. Can you recommend similar music artists I might enjoy?",1,1372|1412|2136|228|5605|1426|718,1372,0.9,1.0,0.9842184869190973,0,template_11,0,0.0,0.0
5000,Take That,"pop,90s,british,00s,male vocalists",0.0,4.0,1022,524|540|544|599|679,"I enjoy listening to artists like Coldplay, Lady Gaga, Robbie Williams, Michael Jackson, Scissor Sisters, James Blunt. I generally like alternative rock pop dance electronic female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Coldplay, Lady Gaga, Robbie Williams, Michael Jackson, Scissor Sisters","I enjoy listening to artists like Coldplay, Lady Gaga, Robbie Williams, Michael Jackson, Scissor Sisters, James Blunt. I generally like alternative rock pop dance electronic female music. Can you recommend similar music artists I might enjoy?",1,5000|5306|5926|3266|1351|2823,5000,0.95,1.0,0.996999330656715,0,template_11,0,0.0,0.0
3391,Zeca Baleiro,"brazil,brazilian,mpb,brasil,alternative",0.0,4.0,1023,679|689|691|701|704,"I enjoy listening to artists like Michael Jackson, Red Hot Chili Peppers, Rihanna, BeyoncÃÂ©, Lily Allen, Katy Perry. I generally like pop 80s dance soul rock alternative music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Michael Jackson, Red Hot Chili Peppers, Rihanna, BeyoncÃÂ©, Lily Allen","I enjoy listening to artists like Michael Jackson, Red Hot Chili Peppers, Rihanna, BeyoncÃÂ©, Lily Allen, Katy Perry. I generally like pop 80s dance soul rock alternative music. Can you recommend similar music artists I might enjoy?",1,3391|4704|67|289|292|55|89,3391,1.0,1.0,1.0,0,template_11,0,0.0,0.0
7639,Mudvayne,"nu metal,metal,alternative metal,rock,nu-metal",0.0,4.0,1024,543|707|726|978|1044,"I enjoy listening to artists like Marilyn Manson, Mindless Self Indulgence, Muse, Britney Spears, Ashlee Simpson, Cobra Starship. I generally like metal industrial rock punk electronic alternative music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Marilyn Manson, Mindless Self Indulgence, Muse, Britney Spears, Ashlee Simpson","I enjoy listening to artists like Marilyn Manson, Mindless Self Indulgence, Muse, Britney Spears, Ashlee Simpson, Cobra Starship. I generally like metal industrial rock punk electronic alternative music. Can you recommend similar music artists I might enjoy?",1,7639|198|754|1099|1714,7639,1.0,1.0,1.0,0,template_11,0,0.0,0.0
2342,Dio,"heavy metal,hard rock,metal,classic rock,80s",0.0,4.0,1025,1372|1411|1412|2265|2742,"I enjoy listening to artists like Radiohead, Pink Floyd, Beirut, Arctic Monkeys, Bob Dylan, Nirvana. I generally like alternative rock progressive classic folk indie music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Radiohead, Pink Floyd, Beirut, Arctic Monkeys, Bob Dylan","I enjoy listening to artists like Radiohead, Pink Floyd, Beirut, Arctic Monkeys, Bob Dylan, Nirvana. I generally like alternative rock progressive classic folk indie music. Can you recommend similar music artists I might enjoy?",1,2342|5845|6724|1244|2055|227,2342,1.0,1.0,1.0,0,template_11,0,0.0,0.0
1797,Guano Apes,"rock,alternative rock,alternative,german,female vocalists",0.0,4.0,1026,378|949|2970|25|843,"I enjoy listening to artists like Madonna, Michael Jackson, Lily Allen, Soilwork, Alice in Chains, Amy Winehouse. I generally like pop dance female vocalists 80s soul music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Madonna, Michael Jackson, Lily Allen, Soilwork, Alice in Chains","I enjoy listening to artists like Madonna, Michael Jackson, Lily Allen, Soilwork, Alice in Chains, Amy Winehouse. I generally like pop dance female vocalists 80s soul music. Can you recommend similar music artists I might enjoy?",1,1797|857|89|959|1513|1463,1797,0.8,1.0,0.8950586072243474,0,template_11,0,0.0,0.0
3490,Utada,"pop,rnb,utada,female vocalists,sexy",0.0,4.0,1027,322|327|374|423|456,"I enjoy listening to artists like Kylie Minogue, Madonna, Lady Gaga, Michael Jackson, Toni Braxton, Whitney Houston. I generally like pop dance electronic female vocalists 80s music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Kylie Minogue, Madonna, Lady Gaga, Michael Jackson, Toni Braxton","I enjoy listening to artists like Kylie Minogue, Madonna, Lady Gaga, Michael Jackson, Toni Braxton, Whitney Houston. I generally like pop dance electronic female vocalists 80s music. Can you recommend similar music artists I might enjoy?",1,3490|4566|4696|6226|6562|331|239,3490,0.6,1.0,1.0,0,template_11,0,0.0,0.0
4437,Ã¦Â¢Â¶Ã¦ÂµÂ¦Ã§ÂÂ±Ã¨Â¨Â,"new age,j-pop,anime,soundtrack,epic",0.0,4.0,1028,518|537|540|544|704,"I enjoy listening to artists like Mindless Self Indulgence, Lady Gaga, Muse, My Chemical Romance, Green Day, Nirvana. I generally like punk industrial electronic pop dance female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Mindless Self Indulgence, Lady Gaga, Muse, My Chemical Romance, Green Day","I enjoy listening to artists like Mindless Self Indulgence, Lady Gaga, Muse, My Chemical Romance, Green Day, Nirvana. I generally like punk industrial electronic pop dance female music. Can you recommend similar music artists I might enjoy?",1,4437|4980|5215|5437|1246,4437,0.75,1.0,0.8952916736708718,0,template_11,0,0.0,0.0
1892,Eurythmics,"80s,new wave,pop,synthpop,female vocalists",0.0,4.0,1029,993|998|1073|1089|1891,"I enjoy listening to artists like Beirut, Manu Chao, Queen, Franz Ferdinand, Snow Patrol, Everything but the Girl. I generally like folk indie singer songwriter alternative latin music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Beirut, Manu Chao, Queen, Franz Ferdinand, Snow Patrol","I enjoy listening to artists like Beirut, Manu Chao, Queen, Franz Ferdinand, Snow Patrol, Everything but the Girl. I generally like folk indie singer songwriter alternative latin music. Can you recommend similar music artists I might enjoy?",1,1892|2029|851|1027|227|2609|601,1892,0.95,1.0,0.9923684985411616,0,template_11,0,0.0,0.0
1713,Dave Gahan,"electronic,alternative,new wave,synthpop,rock",0.0,4.0,103,250|377|389|425|475,"I enjoy listening to artists like Air, RÃÂ¶yksopp, Coldplay, Depeche Mode, Camouflage, Lady Gaga. I generally like electronic chillout ambient trip electronica alternative music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Air, RÃÂ¶yksopp, Coldplay, Depeche Mode, Camouflage","I enjoy listening to artists like Air, RÃÂ¶yksopp, Coldplay, Depeche Mode, Camouflage, Lady Gaga. I generally like electronic chillout ambient trip electronica alternative music. Can you recommend similar music artists I might enjoy?",1,1713|1886|2247|2339|2645|2646,1713,1.0,1.0,0.8782856768047497,0,template_11,0,0.0,0.0
2901,ZZ Top,"classic rock,rock,hard rock,blues rock,southern rock",0.0,4.0,1032,581|583|585|599|728,"I enjoy listening to artists like Fleetwood Mac, Elton John, Queen, Janis Joplin, Joe Bonamassa, Buddy Holly. I generally like classic rock 70s pop 80s blues music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Fleetwood Mac, Elton John, Queen, Janis Joplin, Joe Bonamassa","I enjoy listening to artists like Fleetwood Mac, Elton John, Queen, Janis Joplin, Joe Bonamassa, Buddy Holly. I generally like classic rock 70s pop 80s blues music. Can you recommend similar music artists I might enjoy?",1,2901|2864|2894|2861,2901,1.0,1.0,1.0,0,template_11,1,0.1,0.2890648263178879
3795,Marilyn Monroe,"jazz,female vocalists,soundtrack,swing,pop",0.0,4.0,1033,333|340|346|349|466,"I enjoy listening to artists like Kylie Minogue, Lady Gaga, Duffy, Robbie Williams, Roxette, Tina Turner. I generally like pop dance electronic female soul vocalists music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Kylie Minogue, Lady Gaga, Duffy, Robbie Williams, Roxette","I enjoy listening to artists like Kylie Minogue, Lady Gaga, Duffy, Robbie Williams, Roxette, Tina Turner. I generally like pop dance electronic female soul vocalists music. Can you recommend similar music artists I might enjoy?",1,3795|4767|5000|7340|7868|292|67,3795,0.65,1.0,0.6986329818120912,0,template_11,1,0.14285714285714285,0.3333333333333333
2094,BoA,"j-pop,k-pop,female vocalists,pop,korean",0.0,4.0,1034,400|409|456|466|484,"I enjoy listening to artists like Marilyn Manson, OneRepublic, Green Day, Rihanna, Christina Aguilera, Sugababes. I generally like metal industrial rock alternative punk pop music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Marilyn Manson, OneRepublic, Green Day, Rihanna, Christina Aguilera","I enjoy listening to artists like Marilyn Manson, OneRepublic, Green Day, Rihanna, Christina Aguilera, Sugababes. I generally like metal industrial rock alternative punk pop music. Can you recommend similar music artists I might enjoy?",1,2094|2247|3317|6618|6619|475|907,2094,0.55,1.0,1.0,0,template_11,0,0.0,0.0
6205,The Clientele,just chillin,0.0,4.0,1035,1131|1510|2289|2542|3201,"I enjoy listening to artists like Morcheeba, Goldfrapp, New Order, Mew, Sigur RÃÂ³s, The Smiths. I generally like trip hop chillout downtempo electronic female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Morcheeba, Goldfrapp, New Order, Mew, Sigur RÃÂ³s","I enjoy listening to artists like Morcheeba, Goldfrapp, New Order, Mew, Sigur RÃÂ³s, The Smiths. I generally like trip hop chillout downtempo electronic female music. Can you recommend similar music artists I might enjoy?",1,6205|6414|6582|8672|8680,6205,0.95,1.0,0.9839041981133385,0,template_11,0,0.0,0.0
429,The Smiths,"80s,indie,alternative,new wave,post-punk",0.0,4.0,1036,851|920|1249|1384|1400,"I enjoy listening to artists like New Order, Duffy, Radiohead, Muse, Nirvana, Kate Nash. I generally like new wave 80s electronic soul female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: New Order, Duffy, Radiohead, Muse, Nirvana","I enjoy listening to artists like New Order, Duffy, Radiohead, Muse, Nirvana, Kate Nash. I generally like new wave 80s electronic soul female music. Can you recommend similar music artists I might enjoy?",1,429|735|1089|1416|3676,429,0.4,1.0,0.8879513638258199,0,template_11,0,0.0,0.0
6959,Gary Moore,"blues rock,rock,blues,classic rock,hard rock",0.0,4.0,1037,2419|2786|2834|2842|2864,"I enjoy listening to artists like Howlin' Wolf, Ray Charles, Muddy Waters, John Lee Hooker, Johnny Cash, Eric Clapton. I generally like blues chicago delta jazz soul rhythm music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Howlin' Wolf, Ray Charles, Muddy Waters, John Lee Hooker, Johnny Cash","I enjoy listening to artists like Howlin' Wolf, Ray Charles, Muddy Waters, John Lee Hooker, Johnny Cash, Eric Clapton. I generally like blues chicago delta jazz soul rhythm music. Can you recommend similar music artists I might enjoy?",1,6959|7056|8111|8126|11885,6959,1.0,1.0,1.0,0,template_11,1,0.14285714285714285,0.3333333333333333
68,Icehouse,"80s,new wave,new romantic,rock,australian",0.0,4.0,1038,82|877|1004|1013|1810,"I enjoy listening to artists like Japan, The Human League, Orchestral Manoeuvres in the Dark, The Fixx, Yazoo, Heaven 17. I generally like new romantic wave 80s synthpop british music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Japan, The Human League, Orchestral Manoeuvres in the Dark, The Fixx, Yazoo","I enjoy listening to artists like Japan, The Human League, Orchestral Manoeuvres in the Dark, The Fixx, Yazoo, Heaven 17. I generally like new romantic wave 80s synthpop british music. Can you recommend similar music artists I might enjoy?",1,68|91|995|1005|2936|993,68,1.3,1.0,0.9588399107870716,0,template_11,1,0.16666666666666666,0.3562071871080222
5947,LMFAO,"hip-hop,electro,electronic,pop,00s",0.0,4.0,1039,517|527|547|687|907,"I enjoy listening to artists like Lady Gaga, Michael Jackson, OneRepublic, System of a Down, Rihanna, Chris Brown. I generally like pop dance electronic female 80s soul music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Lady Gaga, Michael Jackson, OneRepublic, System of a Down, Rihanna","I enjoy listening to artists like Lady Gaga, Michael Jackson, OneRepublic, System of a Down, Rihanna, Chris Brown. I generally like pop dance electronic female 80s soul music. Can you recommend similar music artists I might enjoy?",1,5947|5948|5972|5988|7340|9384|3317,5947,0.75,1.0,0.9541814158997186,0,template_11,0,0.0,0.0
1412,Led Zeppelin,"classic rock,hard rock,rock,progressive rock,70s",0.0,4.0,104,89|192|230|498|705,"I enjoy listening to artists like Opeth, Cobra Starship, 3OH!3, HIM, Helloween, Bloodbath. I generally like progressive metal death pop punk rock music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Opeth, Cobra Starship, 3OH!3, HIM, Helloween","I enjoy listening to artists like Opeth, Cobra Starship, 3OH!3, HIM, Helloween, Bloodbath. I generally like progressive metal death pop punk rock music. Can you recommend similar music artists I might enjoy?",1,1412|1515|2660|2665|2666|2664,1412,0.25,1.0,0.4810805920635224,0,template_11,0,0.0,0.0
4457,Turbonegro,"rock,punk,punk rock,death punk,alternative",0.0,4.0,1040,2346|2723|2781|2790|2797,"I enjoy listening to artists like Daft Punk, The All-American Rejects, The Rasmus, blink-182, 30 Seconds to Mars, Funeral for a Friend. I generally like electronic dance electronica house rock alternative music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Daft Punk, The All-American Rejects, The Rasmus, blink-182, 30 Seconds to Mars","I enjoy listening to artists like Daft Punk, The All-American Rejects, The Rasmus, blink-182, 30 Seconds to Mars, Funeral for a Friend. I generally like electronic dance electronica house rock alternative music. Can you recommend similar music artists I might enjoy?",1,4457|209|779|1246|2372|3032|356,4457,0.8,1.0,0.9658296198643584,0,template_11,0,0.0,0.0
